code_barrios,mpi_level
172,4
173,3
175,3
174,4
171,2
121,2
183,2
116,2
106,2
123,4
181,2
122,3
126,1
127,2
117,1
115,2
124,2
182,1
114,2
131,4
107,2
134,3
133,4
24,4
125,1
112,1
132,3
135,3
111,1
105,2
23,1
25,3
104,3
141,3
193,3
113,2
192,2
136,3
32,3
22,2
31,3
26,2
145,3
27,3
101,3
146,3
103,4
142,3
21,2
12,1
143,3
36,2
102,3
144,3
13,1
16,1
33,3
35,2
34,2
11,1
204,4
42,2
203,4
14,1
41,1
15,1
43,2
151,3
202,4
92,1
45,2
152,4
46,2
74,1
73,1
72,1
71,2
153,4
201,4
44,3
154,4
75,1
76,1
155,3
207,4
205,3
208,4
206,3
91,4
51,2
53,2
52,2
156,4
62,2
161,5
61,1
54,2
162,4
157,4
66,1
211,4
63,2
97,4
158,4
55,2
163,4
215,5
94,2
65,2
64,1
95,3
213,4
93,3
96,3
164,4
165,4
56,2
159,4
84,1
83,3
85,2
82,3
214,4
212,3
166,4
87,2
86,4
88,3
81,3
191,2
194,2
