geodb_oid;CODBAR;NOMBRE
108;172;San Cristobal
109;173;Butarque
111;175;Los Angeles
110;174;Los Rosales
107;171;Villaverde Alto, Casco Historico de Villaverde
73;121;Orcasitas
112;183;Ensanche de Vallecas
71;116;Buenavista
64;106;Cuatro Vientos
75;123;San Fermin
112;181;Casco Historico de Vallecas
74;122;Orcasur
78;126;Zofio
79;127;Pradolongo
72;117;Abrantes
70;115;Puerta Bonita
76;124;Almendrales
113;182;Santa Eugenia
69;114;Vista Alegre
80;131;Entrevias
65;107;Aguilas
83;134;Palomeras Sureste
82;133;Palomeras Bajas
10;24;Legazpi
77;125;Moscardo
67;112;Opanel
81;132;San Diego
84;135;Portazgo
66;111;Comillas
63;105;Campamento
9;23;Chopera
11;25;Delicias
62;104;Aluche
86;141;Pavones
0;193;Valderrivas
68;113;San Isidro
0;192;Valdebernardo
85;136;Numancia
15;32;Adelfas
8;22;Acacias
14;31;Pacifico
12;26;Palos de Moguer
90;145;Fontarron
13;27;Atocha
59;101;Carmenes
91;146;Vinateros
61;103;Lucero
87;142;Horcajo
7;21;Imperial
2;12;Embajadores
88;143;Marroquina
19;36;Nino Jesus
60;102;Puerta del Angel
89;144;Media Legua
3;13;Cortes
6;16;Sol
16;33;Estrella
18;35;Jeronimos
17;34;Ibiza
1;11;Palacio
119;204;Arcos
21;42;Goya
118;203;Amposta
4;14;Justicia
20;41;Recoletos
5;15;Universidad
22;43;Fuente del Berro
92;151;Ventas
117;202;Hellin
53;92;Arguelles
24;45;Lista
93;152;Pueblo Nuevo
25;46;Castellana
41;74;Almagro
40;73;Trafalgar
39;72;Arapiles
38;71;Gaztambide
94;153;Quintana
116;201;Simancas
23;44;Guindalera
95;154;Concepcion
42;75;Rios Rosas
43;76;Vallehermoso
96;155;San Pascual
122;207;Canillejas
120;205;Rosas
123;208;Salvador
121;206;Rejas
52;91;Casa de Campo
26;51;El Viso
28;53;Ciudad Jardin
27;52;Prosperidad
97;156;San Juan Bautista
33;62;Cuatro Caminos
101;161;Palomas
32;61;Bellas Vistas
29;54;Hispanoamerica
102;162;Piovera
98;157;Colina
37;66;Berruguete
124;211;Alameda de Osuna
34;63;Castillejos
58;97;Aravaca
99;158;Atalaya
30;55;Nueva Espana
103;163;Canillas
128;215;Corralejos
55;94;Valdezarza
36;65;Valdeacederas
35;64;Almenara
56;95;Valdemarin
126;213;Casco Historico de Barajas
54;93;Ciudad Universitaria
57;96;El Plantio
104;164;Pinar del Rey
105;165;Apostol Santiago
31;56;Castilla
100;159;Costillares
47;84;Pilar
46;83;Penagrande
48;85;La Paz
45;82;Fuentelareina
127;214;Timon
125;212;Aeropuerto
106;166;Valdefuentes
50;87;Mirasierra
49;86;Valverde
51;88;El Goloso
44;81;El Pardo
0;191;Casco historico de Vicalvaro
0;194;El Canaveral
