station,co,longitude,latitude
4,0.4171166154633897,-3.7122567,40.423882299999995
8,0.2742707873533791,-3.6823157999999996,40.4215533
16,0.2950851254480287,-3.6392422,40.440045700000006
18,0.4688863287250385,-3.7318356,40.3947825
24,0.20740463389656935,-3.7473445,40.419357700000006
35,0.4517200769814786,-3.7031662000000005,40.4192091
36,0.30436763952892987,-3.6453104,40.407951700000005
39,0.33100294418842807,-3.7115364,40.47823220000001
56,0.3264605734767026,-3.7187678999999996,40.3850336
57,0.27755473453749313,-3.6605172999999995,40.494201200000006
