station,pm,longitude,latitude
4,39.758701025831165,-3.7122567,40.423882299999995
8,51.10636772223477,-3.6823157999999996,40.4215533
11,39.355593958013316,-3.6773491000000003,40.4514734
16,34.40603558627752,-3.6392422,40.440045700000006
17,39.38565028161802,-3.7133167,40.347147
18,32.36029825908858,-3.7318356,40.3947825
24,20.565213773681513,-3.7473445,40.419357700000006
27,35.649308755760366,-3.5800258,40.476917900000004
35,36.12951162667513,-3.7031662000000005,40.4192091
36,36.10744367639529,-3.6453104,40.407951700000005
38,37.979531937596455,-3.7071302999999998,40.445543900000004
39,35.943573988735274,-3.7115364,40.47823220000001
40,36.00870455709165,-3.6515286,40.38814779999999
47,33.612730414746544,-3.6868138,40.3980991
48,34.197945468509985,-3.6903729,40.439890399999996
49,24.913997695852533,-3.6824999999999903,40.4144444444444
50,36.92027649769585,-3.6887449,40.4655841
54,36.933058115719405,-3.6121394000000002,40.37301179999999
55,38.06393369175627,-3.5805648999999997,40.462362799999994
56,53.56055427547363,-3.7187678999999996,40.3850336
57,31.07535202252944,-3.6605172999999995,40.494201200000006
58,15.868228366615467,-3.7746101000000003,40.5180701
59,25.652120622676374,-3.6163407,40.4607255
60,25.227732974910396,-3.6897307999999995,40.5005477
