station,rainfall,longitude,latitude
24,4.136833354553942,-3.7473445,40.419357700000006
39,9.560526695526697,-3.7115364,40.47823220000001
54,4.212363261738262,-3.6121394000000002,40.37301179999999
56,4.468159872534873,-3.7187678999999996,40.3850336
59,3.000949197860963,-3.6163407,40.4607255
102,4.787721815221816,-3.63563705,40.39979278
103,3.8885067016317016,-3.70952476,40.3506278
104,6.140000000000001,-3.679722,40.3658333
106,3.6959914622414622,-3.74,40.442221999999994
107,2.9816369047619045,-3.6566669999999997,40.462778
108,3.9626537698412694,-3.7178809999999998,40.476633299999996
